,endog_vars,exog_vars,ieps_sin_gas_neto_(mdp)_r,importaciones_neto_(mdp)_r,ing_trib_sin_gasol_neto_(mdp)_r,isr_neto_(mdp)_r,iva_neto_(mdp)_r,model,params,split_date
35,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -27606.90158317145, Timestamp('2019-01-01 00:00:00', freq='AS-JAN'): -914402.4558784568}",,ARIMA,"{'order': (4, 0, 4)}",2018-07-01
36,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 109748.3129462935, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 308978.7478504868}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 2), 'seasonal_order': (0, 0, 0, 12)}",2015-07-01
37,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -264119.1280297742, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -746383.7052062908}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 2), 'seasonal_order': (0, 0, 1, 12)}",2015-07-01
38,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -9351.217044940451, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -50375.18589550769}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 2), 'seasonal_order': (1, 0, 0, 12)}",2015-07-01
39,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -42696.5204252603, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -87548.46172922058}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 2), 'seasonal_order': (1, 0, 1, 12)}",2015-07-01
40,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -146211.51270638267, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -264775.1171111828}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 3), 'seasonal_order': (0, 0, 0, 12)}",2015-07-01
41,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -129134.82718868717, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -402419.910271242}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 3), 'seasonal_order': (0, 0, 1, 12)}",2015-07-01
42,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -16681.95926690544, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -168731.43422303605}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 3), 'seasonal_order': (1, 0, 0, 12)}",2015-07-01
43,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -52516.33736242796, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -97475.29578406853}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 3), 'seasonal_order': (1, 0, 1, 12)}",2015-07-01
44,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 51850.657664164435, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 171648.76384434616}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (3, 0, 2), 'seasonal_order': (0, 0, 0, 12)}",2015-07-01
45,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -181894.56161018205, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -633283.6045745113}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (3, 0, 2), 'seasonal_order': (0, 0, 1, 12)}",2015-07-01
46,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -75564.6413754709, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -278507.65988055477}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (3, 0, 2), 'seasonal_order': (1, 0, 0, 12)}",2015-07-01
47,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -87531.71817861963, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -190514.1498237073}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (3, 0, 2), 'seasonal_order': (1, 0, 1, 12)}",2015-07-01
48,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): 137405.3718097026, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 305286.28185818787}",,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (3, 0, 3), 'seasonal_order': (0, 0, 0, 12)}",2015-07-01
